band,entry_minute,filter,stop_multiplier,calls,train_2017_2023_calls,val_2024_2025_calls,confirm_2026_calls,win_rate,train_2017_2023_win_rate,val_2024_2025_win_rate,confirm_2026_win_rate,avg_pnl_pts,train_2017_2023_avg_pnl_pts,val_2024_2025_avg_pnl_pts,confirm_2026_avg_pnl_pts,mean_target_distance_pts,ambiguous_rate
0.02-0.10,5,toward_target,1.0,9,4,4,1,33.33333333333333,25.0,25.0,100.0,-3.2000000000001214,-3.650000000000091,-6.1875,10.549999999999272,9.922222222222343,0.0
0.02-0.10,5,not_away_more_than_0.03pct,0.75,22,15,6,1,27.27272727272727,26.666666666666668,16.666666666666664,100.0,-2.562553409090883,-1.1734116666667735,-8.220833333332848,10.549999999999272,11.486322727272967,4.545454545454546
0.02-0.10,5,after_favourable_0.02pct,0.75,3,1,1,1,66.66666666666666,100.0,0.0,100.0,2.2874999999997576,5.5,-9.1875,10.549999999999272,9.43333333333309,0.0
0.02-0.10,5,after_favourable_0.02pct,1.0,3,1,1,1,66.66666666666666,100.0,0.0,100.0,1.2666666666664241,5.5,-12.25,10.549999999999272,9.43333333333309,0.0
0.03-0.12,5,after_favourable_0.02pct,0.75,10,5,4,1,40.0,60.0,0.0,100.0,-0.24501000000000203,3.2199799999998504,-7.274999999999636,10.549999999999272,8.01498999999967,30.0
0.05-0.15,5,not_away_more_than_0.03pct,4.0,54,27,22,5,85.18518518518519,81.48148148148148,90.9090909090909,80.0,5.357372222222053,2.4517814814816017,9.352272727272396,3.4699999999989815,15.78886111111118,1.8518518518518516
0.05-0.15,5,not_away_more_than_0.03pct,5.0,54,27,22,5,85.18518518518519,81.48148148148148,90.9090909090909,80.0,4.678666666666383,0.8554814814816146,10.538636363635801,-0.4600000000013097,15.78886111111118,1.8518518518518516
0.03-0.12,0,none,5.0,393,257,104,32,82.69720101781171,80.1556420233463,90.38461538461539,78.125,1.9374109573792286,-0.46556964980524473,10.705326021634741,-7.259375000000887,12.992941014630949,2.2900763358778624
0.03-0.12,0,not_away_more_than_0.03pct,5.0,393,257,104,32,82.69720101781171,80.1556420233463,90.38461538461539,78.125,1.9374109573792286,-0.46556964980524473,10.705326021634741,-7.259375000000887,12.992941014630949,2.2900763358778624
0.03-0.12,0,none,4.0,393,257,104,32,77.60814249363868,73.54085603112841,87.5,78.125,1.2433414201654387,-1.821291439688606,10.110625751202056,-2.962500000000773,12.992941014630949,3.5623409669211195
0.03-0.12,0,not_away_more_than_0.03pct,4.0,393,257,104,32,77.60814249363868,73.54085603112841,87.5,78.125,1.2433414201654387,-1.821291439688606,10.110625751202056,-2.962500000000773,12.992941014630949,3.5623409669211195
0.02-0.10,0,none,5.0,351,231,93,27,79.2022792022792,78.35497835497836,81.72043010752688,77.77777777777779,0.5445732727920174,0.0623203463204987,4.082787298386941,-7.516666666667502,10.222219017093963,4.273504273504273
0.02-0.10,0,not_away_more_than_0.03pct,5.0,351,231,93,27,79.2022792022792,78.35497835497836,81.72043010752688,77.77777777777779,0.5445732727920174,0.0623203463204987,4.082787298386941,-7.516666666667502,10.222219017093963,4.273504273504273
0.02-0.10,0,none,4.0,351,231,93,27,72.93447293447294,70.56277056277057,77.41935483870968,77.77777777777779,-0.6730883725072362,-1.954782683982715,3.308610551075128,-3.42222222222295,10.222219017093963,6.552706552706552
0.02-0.10,0,not_away_more_than_0.03pct,4.0,351,231,93,27,72.93447293447294,70.56277056277057,77.41935483870968,77.77777777777779,-0.6730883725072362,-1.954782683982715,3.308610551075128,-3.42222222222295,10.222219017093963,6.552706552706552
0.05-0.15,5,after_favourable_0.02pct,4.0,27,14,9,4,88.88888888888889,85.71428571428571,100.0,75.0,7.137037037036862,5.710714285714208,14.833333333333334,-5.1875000000009095,11.657403703703798,3.7037037037037033
0.05-0.15,5,after_favourable_0.02pct,5.0,27,14,9,4,88.88888888888889,85.71428571428571,100.0,75.0,6.3537037037034745,5.6035714285713505,14.833333333333334,-10.100000000001273,11.657403703703798,3.7037037037037033
0.05-0.15,1,not_away_more_than_0.03pct,5.0,79,47,28,4,91.13924050632912,89.36170212765957,96.42857142857143,75.0,6.363905063290813,3.7616702127656256,15.367857142857117,-26.087500000002365,16.689251898734245,0.0
0.05-0.15,5,toward_target,4.0,36,16,16,4,88.88888888888889,87.5,93.75,75.0,8.00833333333296,6.090624999999932,13.224999999999454,-5.1875000000009095,13.113886111111242,2.7777777777777777
0.05-0.15,5,toward_target,5.0,36,16,16,4,88.88888888888889,87.5,93.75,75.0,7.077777777777303,5.996874999999932,12.453124999999318,-10.100000000001273,13.113886111111242,2.7777777777777777
0.05-0.15,1,not_away_more_than_0.03pct,3.0,79,47,28,4,87.34177215189874,85.1063829787234,92.85714285714286,75.0,8.106958227847816,4.5265893617018635,16.06249999999987,-5.512500000001637,16.689251898734245,1.2658227848101267
0.05-0.15,1,not_away_more_than_0.03pct,4.0,79,47,28,4,87.34177215189874,85.1063829787234,92.85714285714286,75.0,5.961384810126208,2.6138170212762293,14.689285714285559,-15.800000000002001,16.689251898734245,1.2658227848101267
