family,interval_min,rule,direction,entry_after_bars,target_pct,stop_pct,calls,win_rate,avg_pnl_pts,median_pnl_pts,target_rate,stop_rate,eod_rate,ambiguous_rate,train_2017_2024_calls,val_2025_calls,confirm_2026_calls,train_2017_2024_win_rate,val_2025_win_rate,confirm_2026_win_rate,train_2017_2024_avg_pnl_pts,val_2025_avg_pnl_pts,confirm_2026_avg_pnl_pts
generic_first_window,15,first30_trend_lt_-0.3,DOWN,2,0.3,0.3,441,56.916099773242635,6.532317779365091,29.897850000000002,53.74149659863946,40.58956916099773,5.6689342403628125,1.1337868480725624,369,36,36,56.36856368563685,58.333333333333336,61.111111111111114,5.437570706504068,10.54862916666673,13.737163888888928
generic_first_window,10,first30_trend_lt_-0.3,DOWN,3,0.15,0.15,441,54.19501133786848,2.0115814765306124,14.83305,54.19501133786848,45.80498866213152,0.0,5.215419501133787,369,36,36,53.65853658536586,52.77777777777778,61.111111111111114,1.4815240004065047,1.776529166666667,7.679722916666666
generic_first_window,15,first30_trend_lt_-0.3,DOWN,2,0.15,0.15,441,52.38095238095239,1.174080460204082,14.10375,52.38095238095239,47.61904761904761,0.0,8.390022675736962,369,36,36,51.490514905149055,52.77777777777778,61.111111111111114,0.48060815162601667,1.776529166666667,7.679722916666666
generic_first_window,10,first60_trend_lt_-0.4,DOWN,6,0.3,0.3,372,54.03225806451613,4.505611576764112,28.303875,51.344086021505376,42.204301075268816,6.451612903225806,0.8064516129032258,314,30,28,54.45859872611465,43.333333333333336,60.71428571428571,4.9154302756568375,-6.45499833333326,11.65329821428574
generic_first_window,15,first60_trend_lt_-0.4,DOWN,4,0.3,0.3,372,54.03225806451613,4.505611576764112,28.303875,51.344086021505376,42.204301075268816,6.451612903225806,1.0752688172043012,314,30,28,54.45859872611465,43.333333333333336,60.71428571428571,4.9154302756568375,-6.45499833333326,11.65329821428574
generic_first_window,15,first15_trend_lt_-0.1,DOWN,1,0.3,0.3,928,55.71120689655172,4.7686399482219795,29.244825,52.478448275862064,40.84051724137931,6.68103448275862,0.9698275862068966,777,90,61,55.341055341055345,55.55555555555556,60.65573770491803,3.3157663088159484,9.427788333333355,16.40076229508204
generic_first_window,15,first15_trend_lt_-0.2,DOWN,1,0.3,0.3,558,57.8853046594982,7.127428339157712,30.352649999999997,54.659498207885306,38.70967741935484,6.630824372759856,1.2544802867383513,464,51,43,57.974137931034484,54.90196078431373,60.46511627906976,6.031087097521543,10.197909803921668,15.315981395348892
generic_first_window,15,first15_trend_lt_-0.15,DOWN,1,0.3,0.3,737,57.12347354138399,6.110450159769345,30.151799999999998,54.27408412483039,39.48439620081411,6.241519674355495,0.9497964721845319,615,69,53,57.073170731707314,55.072463768115945,60.37735849056604,4.815500191463413,10.7355224637682,15.115435849056645
generic_first_window,10,first10_trend_lt_-0.08,DOWN,1,0.2,0.2,953,53.51521511017838,2.1262454021183137,19.7023,53.09548793284365,45.54039874081847,1.3641133263378804,1.888772298006296,791,94,68,53.603034134007586,47.87234042553192,60.29411764705882,1.9046626652575875,-1.9577382978723168,10.349280882352932
generic_first_window,10,first10_trend_lt_-0.05,DOWN,1,0.2,0.2,1078,53.98886827458256,2.4661092523365067,19.76985,53.61781076066791,44.990723562152134,1.391465677179963,1.6697588126159555,897,106,75,54.29208472686734,47.16981132075472,60.0,2.4065830256619303,-2.4313188679245012,10.099741333333325
generic_first_window,10,first30_trend_lt_-0.2,DOWN,3,0.3,0.3,650,57.07692307692308,6.40537766576924,30.24974985,52.92307692307693,39.23076923076923,7.846153846153846,0.7692307692307693,533,67,50,57.223264540337716,53.73134328358209,60.0,6.052969198405251,4.964455223880671,12.092888000000027
generic_first_window,15,first30_trend_lt_-0.2,DOWN,2,0.3,0.3,650,57.07692307692308,6.40537766576924,30.24974985,52.92307692307693,39.23076923076923,7.846153846153846,0.7692307692307693,533,67,50,57.223264540337716,53.73134328358209,60.0,6.052969198405251,4.964455223880671,12.092888000000027
generic_first_window,10,first20_trend_lt_-0.2,DOWN,2,0.3,0.3,636,57.07547169811321,6.53571088507273,29.605575,54.088050314465406,39.46540880503145,6.446540880503145,0.7861635220125787,531,60,45,57.81544256120527,48.333333333333336,60.0,6.418395994173739,0.9989441666667169,15.302382222222175
generic_first_window,10,first20_trend_lt_-0.2,DOWN,2,0.2,0.2,636,56.289308176100626,3.5858153939661976,20.354599900000004,55.81761006289309,43.710691823899374,0.4716981132075472,1.4150943396226416,531,60,45,56.685499058380415,50.0,60.0,3.5053125999293795,-0.3224966666666428,9.74683111111111
generic_first_window,10,first10_trend_lt_-0.2,DOWN,1,0.15,0.15,525,50.476190476190474,-0.028097163455357,13.382249999999999,50.476190476190474,49.523809523809526,0.0,6.476190476190475,436,47,42,50.68807339449541,40.42553191489361,59.523809523809526,0.032617922444810855,-7.0489723404255304,7.19831607142857
generic_first_window,10,first10_trend_lt_-0.2,DOWN,1,0.08,0.08,525,37.333333333333336,-2.8763939104809526,-8.4216,37.333333333333336,62.66666666666667,0.0,26.285714285714285,436,47,42,35.091743119266056,38.297872340425535,59.523809523809526,-3.3503245022993124,-4.525690212765957,3.889098095238095
generic_first_window,10,first10_trend_lt_-0.1,DOWN,1,0.2,0.2,879,53.58361774744027,2.1122154323307774,19.364400000000003,53.242320819112635,45.50625711035267,1.2514220705346986,2.04778156996587,736,79,64,53.80434782608695,46.835443037974684,59.375,1.9871799796450427,-2.606587341772114,9.374895312499989
generic_first_window,10,first20_fade_gt_0.3,DOWN,2,0.15,0.15,248,50.403225806451616,0.3471810605405742,11.922674999999998,50.403225806451616,49.596774193548384,0.0,4.032258064516129,196,30,22,49.48979591836735,50.0,59.09090909090909,-0.31242166829559964,0.18201500000000076,6.448868181818181
generic_first_window,10,first20_fade_gt_0.3,DOWN,2,0.2,0.2,248,47.983870967741936,-0.7540229886340831,-18.055500000000002,47.58064516129033,51.61290322580645,0.8064516129032258,1.2096774193548387,196,30,22,46.42857142857143,50.0,59.09090909090909,-1.9656525570472063,-0.018200000000000452,9.037099999999999
generic_first_window,10,first30_trend_lt_-0.08,DOWN,3,0.2,0.2,1040,53.75,2.579703176784856,19.7956,52.98076923076923,45.57692307692307,1.4423076923076923,1.153846153846154,858,107,75,52.91375291375291,57.009345794392516,58.666666666666664,1.4728848529793068,6.74531588785053,9.29876399999998
generic_first_window,15,first30_trend_lt_-0.08,DOWN,2,0.2,0.2,1040,53.46153846153846,2.4110770237079326,19.7449,52.69230769230769,45.86538461538461,1.4423076923076923,1.7307692307692308,858,107,75,52.56410256410257,57.009345794392516,58.666666666666664,1.2684895159163698,6.74531588785053,9.29876399999998
generic_first_window,10,first20_trend_lt_-0.08,DOWN,2,0.3,0.3,1034,54.44874274661509,4.331237654067941,27.570149999999998,50.38684719535783,41.295938104448744,8.317214700193423,0.4835589941972921,855,104,75,54.03508771929825,54.807692307692314,58.666666666666664,3.13612869509503,8.047199038461532,12.80268000000001
generic_first_window,10,first20_trend_lt_-0.3,DOWN,2,0.2,0.2,393,56.74300254452926,4.055304556790721,20.049400000000002,56.234096692111954,43.25699745547074,0.5089058524173028,2.2900763358778624,332,32,29,57.22891566265061,50.0,58.620689655172406,4.179393345839614,-1.1279124999999548,8.35411379310345
generic_first_window,15,first15_trend_lt_-0.3,DOWN,1,0.2,0.2,349,55.587392550143264,2.674252711174785,19.7968,55.587392550143264,44.412607449856736,0.0,5.444126074498568,293,27,29,56.996587030716725,37.03703703703704,58.620689655172406,3.4634361645051195,-12.458181481481482,8.789596551724138
generic_first_window,10,first30_trend_lt_-0.15,DOWN,3,0.15,0.15,814,53.68550368550369,1.8880099231476544,14.95815,53.439803439803434,46.19164619164619,0.36855036855036855,3.0712530712530715,662,87,65,53.17220543806647,54.02298850574713,58.46153846153847,1.3515778360153912,2.616249712643711,6.37664346153844
