outcome,strategy,feature,orientation,mode,quantile,threshold_high,threshold_low,rho_dev,dev2023_24_n,dev2023_24_coverage_pct,dev2023_24_up_calls,dev2023_24_down_calls,dev2023_24_exact_pct,dev2023_24_sign_n,dev2023_24_sign_pct,val2025_n,val2025_coverage_pct,val2025_up_calls,val2025_down_calls,val2025_exact_pct,val2025_sign_n,val2025_sign_pct,confirm2026_n,confirm2026_coverage_pct,confirm2026_up_calls,confirm2026_down_calls,confirm2026_exact_pct,confirm2026_sign_n,confirm2026_sign_pct,min_holdout_exact_pct,min_holdout_sign_pct,mean_holdout_coverage_pct
close_to_close,v3_vix_gate,vix_open,1,upper,0.85,15.56999969482422,,0.047486,52,15.25,31,21,42.31,39,56.41,50,20.24,28,22,48.0,42,57.14,65,41.4,34,31,47.69,55,56.36,47.69,56.36,30.82
close_to_close,v3_vix_agree,vix_z20,1,both,0.7,0.8988486260752337,-0.6536074806758934,0.033601,85,24.93,47,38,41.18,58,60.34,86,34.82,27,59,47.67,66,62.12,56,35.67,23,33,57.14,49,65.31,47.67,62.12,35.245000000000005
close_to_close,v3_vix_agree,vix_low,1,lower,0.75,,11.210000038146973,0.042187,40,11.73,0,40,42.5,34,50.0,42,17.0,0,42,47.62,34,58.82,21,13.38,0,21,66.67,19,73.68,47.62,58.82,15.190000000000001
close_to_close,v3_vix_agree,vix_close,1,lower,0.6,,13.039999961853027,0.042152,66,19.35,0,66,42.42,52,53.85,63,25.51,0,63,47.62,54,55.56,27,17.2,0,27,59.26,23,69.57,47.62,55.56,21.355
close_to_close,v3_vix_agree,vix_high,1,both,0.7,15.079999923706056,13.050000190734863,0.032041,103,30.21,54,49,50.49,81,64.2,101,40.89,41,60,47.52,85,56.47,63,40.13,39,24,52.38,52,63.46,47.52,56.47,40.510000000000005
close_to_close,v3_vix_agree,vix_open,1,upper,0.7,14.43000030517578,,0.047486,56,16.42,56,0,53.57,41,73.17,40,16.19,40,0,47.5,33,57.58,37,23.57,37,0,48.65,30,60.0,47.5,57.58,19.880000000000003
close_to_close,vix_direct,vix_z20,1,upper,0.75,1.0699814120586424,,0.033601,86,25.22,86,0,51.16,68,64.71,48,19.43,48,0,52.08,41,60.98,40,25.48,40,0,47.5,37,51.35,47.5,51.35,22.455
close_to_close,v3_vix_agree,vix_z20,1,lower,0.7,,-0.6536074806758934,0.033601,38,11.14,0,38,34.21,23,56.52,59,23.89,0,59,47.46,47,59.57,33,21.02,0,33,54.55,28,64.29,47.46,59.57,22.455
close_to_close,v3_vix_gate,vix_range_mean10,1,both,0.75,13.938028126174945,8.711152069032464,0.046729,172,50.44,89,83,43.02,129,57.36,118,47.77,63,55,47.46,95,58.95,42,26.75,23,19,52.38,37,59.46,47.46,58.95,37.260000000000005
close_to_close,v3_vix_agree,vix_high,1,upper,0.75,15.5,,0.032041,44,12.9,44,0,52.27,33,69.7,36,14.57,36,0,55.56,30,66.67,38,24.2,38,0,47.37,31,58.06,47.37,58.06,19.384999999999998
