date,timestamp,bar_index,open,high,low,close,volume,minute_count,first_timestamp,last_timestamp
2022-12-06,2022-12-06T13:35:00,26,18624.3008,18632.5508,18622.0508,18627.5508,,10,2022-12-06 13:35:00,2022-12-06 13:44:00
2022-12-06,2022-12-06T13:45:00,27,18626.9492,18641.0996,18611.8008,18620.25,,10,2022-12-06 13:45:00,2022-12-06 13:54:00
2022-12-06,2022-12-06T13:55:00,28,18620.5508,18621.0508,18596.5,18606.5,,10,2022-12-06 13:55:00,2022-12-06 14:04:00
2022-12-06,2022-12-06T14:05:00,29,18606.6504,18620.5,18603.8496,18616.75,,10,2022-12-06 14:05:00,2022-12-06 14:14:00
2022-12-06,2022-12-06T14:15:00,30,18616.6504,18627.4004,18606.5508,18607.4004,,10,2022-12-06 14:15:00,2022-12-06 14:24:00
2022-12-06,2022-12-06T14:25:00,31,18608.1504,18619.4004,18606.4492,18611.6504,,10,2022-12-06 14:25:00,2022-12-06 14:34:00
2022-12-06,2022-12-06T14:35:00,32,18611.25,18615.0508,18602.6992,18605.4004,,10,2022-12-06 14:35:00,2022-12-06 14:44:00
2022-12-06,2022-12-06T14:45:00,33,18605.25,18617.5,18603.8496,18608.3496,,10,2022-12-06 14:45:00,2022-12-06 14:54:00
2022-12-06,2022-12-06T14:55:00,34,18608.1504,18650.3008,18601.5996,18644.0508,,10,2022-12-06 14:55:00,2022-12-06 15:04:00
2022-12-06,2022-12-06T15:05:00,35,18644.0996,18654.1992,18633.4492,18651.5508,,10,2022-12-06 15:05:00,2022-12-06 15:14:00
2022-12-06,2022-12-06T15:15:00,36,18651.4492,18652.4004,18642.0996,18644.6504,,10,2022-12-06 15:15:00,2022-12-06 15:24:00
2022-12-06,2022-12-06T15:25:00,37,18644.1992,18647.8008,18633.5996,18647.8008,,5,2022-12-06 15:25:00,2022-12-06 15:29:00
2022-12-07,2022-12-07T09:15:00,0,18638.8496,18654.0,18617.4004,18625.4492,,10,2022-12-07 09:15:00,2022-12-07 09:24:00
2022-12-07,2022-12-07T09:25:00,1,18626.3008,18631.0508,18609.0,18626.5,,10,2022-12-07 09:25:00,2022-12-07 09:34:00
2022-12-07,2022-12-07T09:35:00,2,18626.9004,18646.4492,18620.4492,18640.8496,,10,2022-12-07 09:35:00,2022-12-07 09:44:00
2022-12-07,2022-12-07T09:45:00,3,18641.3496,18654.3496,18636.8008,18643.6504,,10,2022-12-07 09:45:00,2022-12-07 09:54:00
2022-12-07,2022-12-07T09:55:00,4,18644.0,18651.6504,18632.8496,18650.3008,,10,2022-12-07 09:55:00,2022-12-07 10:04:00
2022-12-07,2022-12-07T10:05:00,5,18649.8496,18665.6992,18639.0,18661.6992,,10,2022-12-07 10:05:00,2022-12-07 10:14:00
2022-12-07,2022-12-07T10:15:00,6,18662.75,18668.0508,18654.5508,18659.1992,,10,2022-12-07 10:15:00,2022-12-07 10:24:00
2022-12-07,2022-12-07T10:25:00,7,18658.6992,18661.4492,18648.0,18651.5,,10,2022-12-07 10:25:00,2022-12-07 10:34:00
2022-12-07,2022-12-07T10:35:00,8,18651.9004,18661.1992,18625.3496,18627.1504,,10,2022-12-07 10:35:00,2022-12-07 10:44:00
2022-12-07,2022-12-07T10:45:00,9,18627.4492,18629.5,18578.5508,18579.6992,,10,2022-12-07 10:45:00,2022-12-07 10:54:00
2022-12-07,2022-12-07T10:55:00,10,18579.6992,18585.5508,18565.0,18574.25,,10,2022-12-07 10:55:00,2022-12-07 11:04:00
2022-12-07,2022-12-07T11:05:00,11,18573.9492,18589.8008,18570.8008,18585.1504,,10,2022-12-07 11:05:00,2022-12-07 11:14:00
2022-12-07,2022-12-07T11:15:00,12,18584.8008,18587.1992,18573.25,18573.6504,,10,2022-12-07 11:15:00,2022-12-07 11:24:00
2022-12-07,2022-12-07T11:25:00,13,18572.6504,18586.0,18570.3008,18577.8008,,10,2022-12-07 11:25:00,2022-12-07 11:34:00
2022-12-07,2022-12-07T11:35:00,14,18577.8496,18583.1504,18568.3496,18579.0996,,10,2022-12-07 11:35:00,2022-12-07 11:44:00
2022-12-07,2022-12-07T11:45:00,15,18579.25,18592.5508,18577.4004,18585.9004,,10,2022-12-07 11:45:00,2022-12-07 11:54:00
2022-12-07,2022-12-07T11:55:00,16,18585.8496,18589.1504,18578.0508,18589.1504,,10,2022-12-07 11:55:00,2022-12-07 12:04:00
2022-12-07,2022-12-07T12:05:00,17,18589.4004,18595.8496,18587.9004,18594.4004,,10,2022-12-07 12:05:00,2022-12-07 12:14:00
2022-12-07,2022-12-07T12:15:00,18,18594.0,18597.6504,18583.4492,18587.8008,,10,2022-12-07 12:15:00,2022-12-07 12:24:00
2022-12-07,2022-12-07T12:25:00,19,18587.9004,18597.0,18585.0996,18593.3496,,10,2022-12-07 12:25:00,2022-12-07 12:34:00
2022-12-07,2022-12-07T12:35:00,20,18593.9004,18597.25,18572.3008,18572.3008,,10,2022-12-07 12:35:00,2022-12-07 12:44:00
2022-12-07,2022-12-07T12:45:00,21,18571.5,18591.9492,18569.4004,18589.6992,,10,2022-12-07 12:45:00,2022-12-07 12:54:00
