date,ClientType,Future Index Long,Future Index Short,Future Stock Long,Future Stock Short,Option Index Call Long,Option Index Put Long,Option Index Call Short,Option Index Put Short,Option Stock Call Long,Option Stock Put Long,Option Stock Call Short,Option Stock Put Short,Total Long Contracts,Total Short Contracts
2023-09-05,Pro,41546,36776,419053,159976,1375965,1507334,1519178,1726139,337363,394474,586047,279855,4075735,4307970
2023-09-05,TOTAL,352954,352954,3218868,3218868,7437060,8144655,7437061,8144655,1326692,803889,1326692,803889,21284118,21284118
2023-09-06,Client,186609,183035,1613085,196699,3318870,3649653,3623370,4194028,1041304,373107,628598,511451,10182628,9337181
2023-09-06,DII,46077,67524,117091,1641922,0,95990,0,0,0,0,115515,0,259158,1824961
2023-09-06,FII,81446,76989,1092679,1255031,864261,1149076,562798,629756,41986,48981,69909,40473,3278429,2634956
2023-09-06,Pro,50788,37372,431881,161084,1088159,1306808,1085122,1377743,366276,424508,635544,294672,3668420,3591537
2023-09-06,TOTAL,364920,364920,3254736,3254736,5271290,6201527,5271290,6201527,1449566,846596,1449566,846596,17388635,17388635
2023-09-07,Client,203797,196053,1613863,218742,2880512,3903600,3143958,4180893,1066502,407137,655450,532266,10075412,8927361
2023-09-07,DII,46264,67118,117447,1644275,0,112653,0,0,0,0,128258,0,276364,1839651
2023-09-07,FII,90615,68676,1095095,1225504,672926,940896,449649,597207,45556,52051,75406,43873,2897139,2460315
2023-09-07,Pro,37124,45953,434697,172581,1221860,1444596,1181692,1623646,397742,432766,650686,315815,3968785,3990373
2023-09-07,TOTAL,377800,377800,3261102,3261102,4775298,6401745,4775298,6401745,1509800,891954,1509800,891954,17217699,17217699
2023-09-08,Client,201911,200755,1620420,221034,3832403,5215122,4037794,5335978,1090984,435572,678735,551893,12396413,11026189
2023-09-08,DII,46272,67258,119982,1643518,0,120936,0,0,0,0,136654,0,287190,1847430
2023-09-08,FII,92978,66445,1099686,1234305,930568,1126560,764244,881879,49478,55642,78191,47490,3354911,3072554
2023-09-08,Pro,36408,43111,436301,177532,1340337,1557560,1301270,1802320,427014,448649,673896,340480,4246269,4338610
2023-09-08,TOTAL,377569,377569,3276389,3276389,6103308,8020178,6103308,8020178,1567476,939863,1567476,939863,20284782,20284782
2023-09-11,Client,188534,204026,1600929,213634,4418961,6570964,4590613,6400204,1119866,471678,701169,566289,14370932,12675935
2023-09-11,DII,45655,65377,126323,1644074,0,133651,0,0,0,0,138400,0,305629,1847851
2023-09-11,FII,101288,66222,1106886,1234516,1178795,1293877,1014692,1077710,51380,58779,82656,51524,3791006,3527319
2023-09-11,Pro,40218,40070,438242,180156,1558240,1902148,1550691,2422727,446625,453338,695646,365982,4838811,5255273
2023-09-11,TOTAL,375695,375695,3272380,3272380,7155996,9900641,7155996,9900641,1617871,983795,1617871,983795,23306377,23306377
2023-09-12,Client,173520,205632,1579227,209946,5156491,5588917,5301592,5937708,1266848,440684,740357,586272,14205687,12981508
2023-09-12,DII,46129,65415,131627,1632055,0,141771,0,0,0,0,147630,0,319527,1845100
2023-09-12,FII,112002,65859,1103228,1240766,1346078,1449545,872180,888168,55827,66107,96079,60863,4132788,3223914
2023-09-12,Pro,45059,39804,444608,175923,1407594,1620403,1736392,1974760,438078,500769,776687,360425,4456511,5063991
2023-09-12,TOTAL,376710,376710,3258690,3258690,7910164,8800636,7910164,8800636,1760753,1007560,1760753,1007560,23114513,23114513
2023-09-13,Client,168387,196446,1551645,209869,3520956,4302004,3782738,4521338,1278371,471135,767549,594815,11292498,10072755
2023-09-13,DII,46614,65429,131818,1642584,0,147406,0,0,1,0,152106,0,325839,1860119
2023-09-13,FII,122728,62161,1118419,1199812,988072,1124971,627234,760215,63884,70495,98569,66255,3488569,2814246
