date,oc_pcr_oi,oc_pcr_doi,oc_pcr_near_atm,oc_maxpain_dist_pct,oc_put_wall_dist_pct,oc_call_wall_dist_pct,oc_wall_build_pct,oc_near_put_doi_pct,oc_near_call_doi_pct,oc_straddle_pct,oc_dte_actual,oc_is_expiry,oc_oi_total,spot
2024-03-07,0.956796,0.184641,0.753291,-0.028675,0.193611,0.028675,-9.538442,37.271978,76.709872,0.040234,0,1.000000,293731500.000000,22493.550000
2024-03-11,0.697618,0.256255,0.758858,-0.301576,3.728398,2.988226,-8.882196,6.291345,38.428757,1.053390,3,0.000000,148074950.000000,22332.650000
2024-03-12,0.745354,1.455018,0.822609,-0.287880,1.502975,0.735594,11.996987,45.429711,35.662243,0.909307,2,0.000000,162479400.000000,22335.700000
2024-03-13,0.490272,0.259825,0.727516,-0.465049,1.353323,2.283421,-2.360265,9.110443,51.413960,0.781673,1,0.000000,292297450.000000,21997.700000
2024-03-14,0.860988,-1.485758,0.825611,-0.015126,0.210641,0.015126,-0.378481,62.409737,5.105472,0.037477,0,1.000000,307348100.000000,22146.650000
2024-03-15,0.795131,0.650505,0.921932,-0.121008,4.646659,4.434611,2.133265,12.553280,26.182052,1.324276,6,0.000000,134234600.000000,22023.350000
2024-03-18,0.768174,0.615551,0.827909,0.025844,4.786518,4.281433,0.431633,20.845411,26.955531,1.103116,3,0.000000,155572150.000000,22055.700000
2024-03-19,0.530877,0.054203,0.686546,-0.378367,3.746772,0.836716,-15.798997,-3.635236,63.598700,0.957720,2,0.000000,201746600.000000,21817.450000
2024-03-20,0.614912,-5.737739,0.666307,-0.049910,1.552720,0.736752,13.946994,89.771750,94.271193,0.687757,1,0.000000,210005900.000000,21839.100000
2024-03-21,0.842933,1.854811,0.817020,0.054289,0.054289,0.172861,13.466826,74.242450,37.370514,0.046111,0,1.000000,293663700.000000,22011.950000
2024-03-22,1.226847,1.472033,1.232595,-0.014708,0.437847,4.087705,1.468664,31.705061,16.577192,1.113738,6,0.000000,204315100.000000,22096.750000
2024-03-26,1.041255,0.334122,1.241498,-0.433089,0.021359,2.250883,-8.548212,21.135757,51.521014,0.963431,2,0.000000,236441700.000000,22004.700000
2024-03-27,1.130181,1.907196,1.111004,0.106899,0.558904,1.701121,2.684546,84.522342,35.734488,0.602071,1,0.000000,274980800.000000,22123.650000
2024-03-28,1.016246,0.624652,0.757562,0.120482,0.120482,1.223188,14.708345,62.186676,66.448538,0.178932,0,1.000000,335999900.000000,22326.900000
2024-04-01,0.977509,0.799573,0.827874,0.276022,0.721218,0.169175,-1.075666,23.915447,27.242715,0.973422,3,0.000000,170042450.000000,22462.000000
2024-04-02,0.899832,0.582890,0.728393,0.237382,2.018857,2.434831,-4.177390,19.009298,44.699571,0.762249,2,0.000000,203400600.000000,22453.300000
2024-04-03,0.853244,0.671008,0.853655,0.154449,1.937405,0.291290,2.540326,46.032195,60.008527,0.547590,1,0.000000,249136850.000000,22434.650000
2024-04-04,0.928592,1.259844,0.873183,0.065069,0.065069,0.823242,6.242877,59.631057,31.417418,0.082169,0,1.000000,318239600.000000,22514.650000
2024-04-05,0.899445,0.765273,0.892213,0.060852,0.060852,2.160018,-1.790685,17.493199,20.233184,1.045808,5,0.000000,160838000.000000,22513.700000
2024-04-08,1.386549,-33.476207,0.997837,0.292505,0.733688,1.472230,4.599057,64.403831,4.470467,0.809572,2,0.000000,199260600.000000,22666.300000
2024-04-09,1.065653,0.159958,0.876562,-0.032019,0.630445,1.577768,-10.111513,21.246650,69.258342,0.557353,1,0.000000,233574950.000000,22642.750000
2024-04-10,1.195195,0.371226,0.920416,0.016701,0.236444,0.203043,23.132761,28.568645,-81.084346,0.039774,0,1.000000,209198050.000000,22753.800000
2024-04-12,0.699355,0.321285,0.829444,-0.357914,1.418333,0.801975,-2.943640,11.604456,39.951671,1.097942,6,0.000000,159417550.000000,22519.400000
2024-04-15,0.632045,0.364444,0.905188,-0.572455,1.223482,1.919407,2.356031,-0.407192,66.894438,0.997867,3,0.000000,191613650.000000,22272.500000
2024-04-16,0.619491,0.538838,0.846755,-0.235237,0.667783,1.589767,-12.255068,5.906982,93.781525,0.716095,2,0.000000,219736300.000000,22147.900000
2024-04-18,0.839425,1.623156,1.319825,-0.700814,0.208448,0.018867,-6.295333,69.796829,57.622918,0.075469,0,1.000000,319615050.000000,21995.850000
