date,ClientType,Future Index Long,Future Index Short,Future Stock Long,Future Stock Short,Option Index Call Long,Option Index Put Long,Option Index Call Short,Option Index Put Short,Option Stock Call Long,Option Stock Put Long,Option Stock Call Short,Option Stock Put Short,Total Long Contracts,Total Short Contracts
2023-10-04,DII,2097,446,29538,30769,0,5930,0,5000,0,0,16910,0,37565,53125
2023-10-04,FII,49413,55748,207336,293499,14829921,13618494,15220554,13957357,166296,84241,169401,83344,28955701,29779903
2023-10-04,Pro,116059,106505,406164,365873,196342371,165330468,196214158,165406731,1311296,729683,1372725,696181,364236041,364162173
2023-10-04,TOTAL,348846,348846,978138,978138,314430886,277274123,314430886,277274123,2296003,1117306,2296003,1117306,596445302,596445302
2023-10-05,Client,142361,145427,247681,261459,69718255,64837550,69383814,64613547,763210,241842,764539,237707,135950899,135406493
2023-10-05,DII,175,1751,19477,17379,0,5319,0,0,1255,0,6987,0,26226,26117
2023-10-05,FII,58154,54237,204613,183771,7498043,7573167,7851555,7934440,139084,68426,140160,65977,15541487,16230140
2023-10-05,Pro,82585,81860,296036,305198,123134444,122226640,123115373,122094689,1240394,576520,1232257,583104,247556619,247412481
2023-10-05,TOTAL,283275,283275,767807,767807,200350742,194642676,200350742,194642676,2143943,886788,2143943,886788,399075231,399075231
2023-10-06,Client,125471,126095,236915,235246,35044827,30498077,35447483,30494732,825862,256659,842587,242799,66987811,67388942
2023-10-06,DII,1230,4180,14120,22439,0,6416,0,0,0,0,15109,0,21766,41728
2023-10-06,FII,39545,35602,155674,143052,5086944,4782663,5038136,4799843,136660,62686,134122,62792,10264172,10213547
2023-10-06,Pro,79738,80107,266628,272600,52952691,48791721,52598843,48784302,1256156,555911,1226860,569665,103902845,103532377
2023-10-06,TOTAL,245984,245984,673337,673337,93084462,84078877,93084462,84078877,2218678,875256,2218678,875256,181176594,181176594
2023-10-09,Client,130679,133876,239278,237233,50430635,52547797,49841644,52454583,744272,293636,693834,305539,104386297,103666709
2023-10-09,DII,6543,1012,23013,20813,0,1532,0,2500,0,0,6312,0,31088,30637
2023-10-09,FII,27893,31344,137547,141773,6176812,6392847,6240416,6492509,149215,77322,151715,77840,12961636,13135597
