rule,direction,entry_col,calls,post_entry_hit_rate,post_entry_avg_signed_ret_pct,post_entry_median_signed_ret_pct,oc_direction_n,oc_direction_hit_rate,cc_direction_n,cc_direction_hit_rate,avg_oc_signed_ret_pct,train_2017_2024_calls,val_2025_calls,confirm_2026_calls,train_2017_2024_post_hit_rate,val_2025_post_hit_rate,confirm_2026_post_hit_rate,train_2017_2024_oc_hit_rate,val_2025_oc_hit_rate,confirm_2026_oc_hit_rate
first15_ret_pct_fade_gt_0.03,DOWN,first15_close,916,45.414847161572055,0.013500958229414547,-0.03261229249235019,821,34.348355663824606,831,35.25872442839952,-0.20432505225363282,734,107,75,45.50408719346049,41.1214953271028,50.66666666666667,35.0609756097561,31.0,32.30769230769231
gap_pct_trend_lt_-0.1,DOWN,open,584,48.28767123287671,0.023036184589407104,0.01305781974322796,521,50.67178502879079,535,76.63551401869158,0.023036184589407104,445,67,72,47.640449438202246,50.74626865671642,50.0,50.0,53.333333333333336,52.38095238095239
first60_ret_pct_fade_gt_0.08,DOWN,first60_close,843,42.58600237247924,-0.02963949304806064,-0.06234549697277976,754,24.53580901856764,771,27.367055771725035,-0.3533645905321513,676,97,70,42.455621301775146,38.144329896907216,50.0,25.0,23.91304347826087,20.689655172413794
first15_ret_pct_fade_gt_0.08,DOWN,first15_close,751,44.47403462050599,-0.0010423441761339008,-0.04317862047466995,676,31.360946745562128,682,32.99120234604106,-0.2543872091609295,598,91,62,44.64882943143812,39.56043956043956,50.0,32.407407407407405,27.380952380952383,26.923076923076923
gap_pct_trend_lt_-0.2,DOWN,open,438,47.94520547945205,0.0049734108687385275,0.001958878650670146,394,50.0,404,81.1881188118812,0.0049734108687385275,336,48,54,47.023809523809526,52.083333333333336,50.0,49.16943521594684,54.54545454545454,51.02040816326531
first15_ret_pct_trend_gt_0.15,UP,first15_close,524,48.854961832061065,0.02598676157343698,0.03944358109577492,470,72.3404255319149,479,68.6847599164927,0.3400081717701943,423,57,44,48.46335697399527,50.877192982456144,50.0,71.57894736842105,71.15384615384616,81.57894736842105
first30_ret_pct_trend_gt_0.2,UP,first30_close,446,50.44843049327354,0.036606154214673135,0.0535395724074853,401,78.30423940149626,412,70.87378640776699,0.43849067274085446,349,57,40,50.71633237822349,49.122807017543856,50.0,77.84810126582279,78.43137254901961,82.35294117647058
first60_ret_pct_fade_lt_-0.4,UP,first60_close,372,44.623655913978496,0.0036748340444448207,-0.0504584947983452,355,15.211267605633802,343,26.239067055393583,-0.689772659827986,314,30,28,44.5859872611465,40.0,50.0,14.666666666666666,10.344827586206897,26.923076923076923
first30_ret_pct_fade_gt_0.3,DOWN,first30_close,281,41.99288256227758,-0.05764339240174828,-0.08145083070395392,258,18.6046511627907,265,29.056603773584904,-0.5509358318600869,219,36,26,41.55251141552511,38.88888888888889,50.0,19.11764705882353,16.129032258064516,17.391304347826086
first15_ret_pct_fade_gt_0.05,DOWN,first15_close,863,45.19119351100811,0.010657931674028965,-0.0387367623289161,776,33.50515463917525,785,34.64968152866242,-0.21810549946707983,691,101,71,45.58610709117221,39.603960396039604,49.29577464788733,34.62157809983897,28.723404255319153,29.508196721311474
first60_ret_pct_fade_lt_-0.1,UP,first60_close,986,43.6105476673428,-0.02496558325700866,-0.03855455527105651,879,22.070534698521048,868,35.59907834101382,-0.43098417414158197,816,101,69,43.872549019607845,37.62376237623762,49.275362318840585,22.496570644718794,15.730337078651685,26.229508196721312
first60_ret_pct_fade_gt_0.1,DOWN,first60_close,796,42.085427135678394,-0.03253440563314506,-0.06438307127462137,717,23.570432357043238,727,26.68500687757909,-0.3701259174096798,640,89,67,41.875,38.20224719101123,49.25373134328358,23.82608695652174,23.52941176470588,21.052631578947366
first15_ret_pct_fade_lt_-0.1,UP,first15_close,927,43.25782092772384,-0.012735266595024207,-0.041901241995784475,836,29.42583732057416,815,41.104294478527606,-0.32590959225366234,776,90,61,43.55670103092783,36.666666666666664,49.18032786885246,30.34188034188034,20.98765432098765,30.18867924528302
first60_ret_pct_fade_lt_-0.2,UP,first60_close,721,43.27323162274618,-0.016335475582063684,-0.055004342371900224,660,18.484848484848484,645,30.23255813953488,-0.5168731926644443,595,73,53,42.857142857142854,42.465753424657535,49.056603773584904,18.281535648994517,15.384615384615385,25.0
first60_ret_pct_fade_lt_-0.3,UP,first60_close,528,44.31818181818182,-0.010198270123485469,-0.05278190595594748,487,16.427104722792606,479,28.81002087682672,-0.6007551492970157,437,48,43,44.16475972540046,41.66666666666667,48.837209302325576,16.543209876543212,9.30232558139535,23.076923076923077
gap_up_0.05_but_first15_down_0.05_fade,DOWN,first15_close,706,49.29178470254957,0.032857638392319075,0.04074410426062673,630,70.0,604,44.205298013245034,0.29475987698080913,606,67,33,49.66996699669967,46.26865671641791,48.484848484848484,70.0554528650647,67.21311475409836,75.0
gap_pct_fade_lt_-0.2,UP,open,438,47.48858447488584,-0.0049734108687385275,-0.001958878650670146,394,50.0,404,18.81188118811881,-0.0049734108687385275,336,48,54,47.61904761904761,45.83333333333333,48.148148148148145,50.83056478405316,45.45454545454545,48.97959183673469
first15_ret_pct_trend_gt_0.05,UP,first15_close,863,49.015063731170336,-0.010657931674028965,0.0387367623289161,776,66.49484536082474,785,65.35031847133757,0.21810549946707983,691,101,71,48.04630969609262,56.43564356435643,47.88732394366197,65.37842190016103,71.27659574468085,70.49180327868852
