w_pro,w_fii,w_contra,dev_exact,dev_cov,dev_sign,val_exact,val_sign,conf_exact,conf_sign,conf_sign_n,dev_score
0.8,0.0,0.25,38.48,75.8,57.0,38.71,53.9,36.75,51.43,105,49.592
0.45,0.05,0.2,38.78,74.93,56.78,38.71,55.33,37.95,52.83,106,49.58
0.55,0.05,0.25,38.78,74.93,56.78,38.71,54.61,37.95,52.83,106,49.58
0.7,0.1,-0.05,37.32,71.43,57.75,38.71,53.68,34.34,54.55,88,49.578
0.4,0.7,-0.2,30.61,34.69,62.22,35.08,56.82,28.92,50.0,66,49.576
0.2,0.35,-0.1,30.61,34.69,62.22,35.08,56.82,28.92,50.0,66,49.576
0.65,0.85,-0.3,30.61,34.69,62.22,35.08,55.95,28.92,50.0,64,49.576
0.6,0.8,-0.25,31.49,37.9,61.62,35.48,56.67,28.31,49.23,65,49.568
0.75,0.85,-0.3,31.49,37.9,61.62,35.48,55.56,28.31,49.23,65,49.568
0.25,0.4,-0.3,23.91,1.75,66.67,22.98,85.71,21.08,66.67,9,49.566
0.3,0.4,-0.3,23.91,3.21,66.67,24.19,90.91,21.08,53.85,13,49.566
0.15,0.2,-0.15,23.91,3.21,66.67,24.19,90.91,21.08,53.85,13,49.566
0.2,0.25,-0.2,23.91,3.21,66.67,23.79,90.0,21.08,63.64,11,49.566
0.25,0.3,-0.25,23.91,3.21,66.67,23.39,80.0,21.69,77.78,9,49.566
0.3,0.35,-0.3,23.91,3.21,66.67,23.39,80.0,21.69,77.78,9,49.566
0.9,0.4,0.1,37.61,70.55,57.53,36.69,54.29,37.35,52.58,97,49.562
0.8,0.35,0.1,37.61,70.55,57.53,36.69,54.29,37.35,52.58,97,49.562
0.45,0.2,0.05,37.61,70.55,57.53,36.69,54.29,37.35,52.58,97,49.562
1.0,0.1,0.15,38.19,74.34,57.14,38.71,53.59,35.54,50.98,102,49.56
0.8,0.0,0.2,38.48,76.68,56.93,38.71,53.55,37.35,51.89,106,49.55
0.7,0.0,0.1,38.48,76.68,56.93,37.5,53.29,35.54,50.49,103,49.55
0.35,0.0,0.05,38.48,76.68,56.93,37.5,53.29,35.54,50.49,103,49.55
0.95,0.0,0.2,38.48,76.68,56.93,38.31,53.9,36.75,50.94,106,49.55
0.7,0.0,0.15,38.48,76.68,56.93,38.31,53.55,36.75,51.43,105,49.55
1.0,0.0,0.25,38.48,76.68,56.93,38.71,53.55,37.35,51.89,106,49.55
0.6,0.0,0.05,38.48,76.68,56.93,39.11,54.97,35.54,50.0,104,49.55
0.65,0.0,0.05,38.48,76.68,56.93,39.11,54.97,34.94,49.51,103,49.55
0.6,0.0,0.15,38.48,76.68,56.93,38.71,53.55,37.35,51.89,106,49.55
0.2,0.0,0.05,38.48,76.68,56.93,38.71,53.55,37.35,51.89,106,49.55
0.85,0.0,0.2,38.48,76.68,56.93,38.31,53.55,37.35,51.89,106,49.55
0.4,0.0,0.1,38.48,76.68,56.93,38.71,53.55,37.35,51.89,106,49.55
0.65,0.0,0.15,38.48,76.68,56.93,38.31,53.55,37.35,51.89,106,49.55
0.7,0.1,0.15,38.48,73.47,56.92,39.11,54.3,36.14,51.96,102,49.544
0.95,0.15,0.2,38.48,73.47,56.92,39.11,54.3,36.14,51.96,102,49.544
0.7,0.15,-0.05,37.32,69.1,57.69,37.9,54.14,32.53,51.11,90,49.542
0.5,0.45,-0.3,27.41,22.16,64.29,29.03,56.52,25.3,50.0,40,49.538000000000004
0.85,0.1,-0.05,37.32,72.3,57.67,38.71,54.35,33.73,52.17,92,49.53
0.95,0.05,0.2,38.19,75.22,57.07,38.31,53.25,36.14,50.96,104,49.518
0.7,0.1,0.3,38.48,74.34,56.85,38.31,55.03,37.95,53.33,105,49.501999999999995
0.85,0.15,0.2,38.48,74.34,56.85,38.71,54.36,36.75,51.92,104,49.501999999999995
1.0,0.15,0.25,38.48,74.34,56.85,39.11,54.3,36.75,51.92,104,49.501999999999995
0.35,0.05,0.15,38.48,74.34,56.85,38.31,55.03,37.95,53.33,105,49.501999999999995
0.75,0.1,0.2,38.48,74.34,56.85,39.11,54.61,36.75,51.92,104,49.501999999999995
0.75,0.15,0.3,38.48,74.34,56.85,37.5,55.1,37.95,53.85,104,49.501999999999995
0.65,0.0,0.25,38.78,76.68,56.65,39.52,54.19,37.35,51.89,106,49.501999999999995
0.5,0.1,0.2,38.48,74.34,56.85,37.5,55.1,37.95,53.85,104,49.501999999999995
0.25,0.05,0.1,38.48,74.34,56.85,37.5,55.1,37.95,53.85,104,49.501999999999995
0.65,0.1,0.25,38.48,74.34,56.85,38.31,55.03,37.35,52.88,104,49.501999999999995
0.45,0.6,-0.2,31.2,35.86,61.7,35.48,57.95,28.31,50.0,64,49.5
0.2,0.1,-0.25,25.66,9.62,65.38,24.19,46.43,26.51,51.61,31,49.492
0.55,0.05,0.3,39.07,75.8,56.44,38.31,55.33,38.55,53.77,106,49.492
