w_call,w_put,w_fut,dev_exact,dev_sign,val_sign,conf_sign,dev_score
0.6,0.1,0.6,37.9,57.14,50.35,50.52,49.444
0.3,0.7,0.8,37.61,57.3,57.78,54.55,49.42399999999999
0.1,0.7,1.0,37.61,57.3,57.25,56.0,49.42399999999999
0.7,0.5,0.4,38.19,56.91,54.01,53.54,49.422
0.7,0.4,0.8,38.19,56.91,51.85,56.86,49.422
0.9,0.7,0.8,37.9,57.07,52.63,55.45,49.402
0.8,0.6,0.7,37.9,57.07,52.63,55.45,49.402
0.7,0.5,0.6,37.9,57.07,52.63,55.45,49.402
0.9,0.1,0.2,39.94,55.71,50.32,47.71,49.402
0.5,0.2,0.4,38.78,56.48,51.77,54.64,49.4
0.0,0.6,0.8,38.78,56.48,57.04,54.74,49.4
0.0,0.3,0.4,38.78,56.48,57.04,54.74,49.4
1.0,0.4,0.8,38.78,56.48,51.77,54.64,49.4
0.7,0.2,0.3,39.07,56.28,52.0,51.04,49.396
0.6,0.8,0.5,38.19,56.84,56.52,56.12,49.379999999999995
0.6,0.4,0.3,38.19,56.84,53.85,52.04,49.379999999999995
0.7,0.3,0.7,38.19,56.84,51.49,55.1,49.379999999999995
0.9,0.4,0.9,38.19,56.84,51.13,55.1,49.379999999999995
0.9,0.3,0.2,39.07,56.25,51.97,49.5,49.378
1.0,0.0,0.9,37.61,57.22,50.0,50.51,49.376000000000005
0.3,0.8,0.7,37.61,57.22,56.2,57.43,49.376000000000005
0.7,0.3,1.0,37.32,57.39,52.55,55.1,49.361999999999995
1.0,0.5,0.9,38.48,56.61,51.47,55.56,49.358000000000004
0.5,0.7,0.6,37.32,57.38,57.04,54.08,49.355999999999995
0.1,0.4,0.6,37.32,57.38,56.93,55.67,49.355999999999995
0.9,0.1,0.0,40.23,55.41,50.31,49.53,49.337999999999994
1.0,0.6,0.5,38.19,56.77,53.1,51.55,49.337999999999994
0.9,0.4,0.3,38.48,56.57,51.97,50.0,49.334
0.5,1.0,0.9,38.19,56.76,56.3,56.57,49.331999999999994
0.0,0.3,0.7,37.03,57.53,54.17,53.54,49.33
0.7,0.9,0.9,37.61,57.14,55.8,55.0,49.328
0.7,0.2,0.2,39.65,55.77,52.32,49.0,49.322
