participants,flow,instruments,thr,dev_exact,dev_cov,dev_sign,val_exact,val_cov,val_sign,conf_exact,conf_cov,conf_sign,conf_sign_n,dev_score
pf_5050,r,c45p45f1,0.025,40.82,93.29,54.03,43.15,93.15,54.59,43.98,92.17,53.12,128,47.425
pf_6040,r,fut_only,0.075,38.78,78.13,56.04,35.48,81.05,52.9,40.36,81.33,53.57,112,47.41
pf_6040_c10neg,q,fut_only,0.025,40.23,91.55,54.55,39.11,91.53,51.96,42.77,88.55,54.1,122,47.39
pf_4555_c10,q,c2p2f6,0.05,39.36,83.97,55.41,38.31,85.89,50.59,42.17,85.54,58.26,115,47.385
pf_4555_c10,r,fut_only,0.025,40.82,95.92,53.94,40.32,95.16,51.06,40.36,94.58,51.56,128,47.379999999999995
v2_p0.53_f0.27_c0.20,q,c4p4f2,0.05,39.65,84.84,55.11,41.53,87.9,53.71,42.17,88.55,54.55,121,47.379999999999995
fii_only,q,c3p3f4,0.05,40.82,90.96,53.91,42.34,87.5,51.69,42.17,93.37,54.76,126,47.364999999999995
pf_6040,q,c4p4f2,0.025,40.82,91.84,53.88,43.55,92.74,54.59,44.58,93.98,55.04,129,47.35
pf_6040_c10neg,q,c2p2f6,0.075,36.15,62.39,58.54,35.48,61.69,53.66,33.73,65.66,53.41,88,47.345
pf_6040,q,c45p45f1,0.05,40.23,84.26,54.42,40.73,85.48,53.53,41.57,86.14,52.94,119,47.325
pro_only,r,c4p4f2,0.1,38.78,80.76,55.87,40.32,79.84,54.72,34.94,75.3,50.0,102,47.325
v2_p0.53_f0.27_c0.20,r,c2p2f6,0.075,39.36,78.43,55.24,36.69,83.47,50.92,42.17,86.14,56.41,117,47.3
pro_only,q,c4p4f2,0.075,38.78,81.63,55.81,39.92,83.06,55.21,36.75,80.72,50.0,110,47.295
pf_4555_c10,q,c4p4f2,0.05,39.65,79.3,54.93,41.13,83.06,54.22,45.78,89.16,55.2,125,47.29
fii_only,q,fut_only,0.075,40.23,92.71,54.29,36.69,90.32,49.43,46.39,93.98,56.15,130,47.26
pro_only,q,c45p45f1,0.075,39.36,84.26,55.16,40.73,81.85,55.56,36.75,80.12,50.46,109,47.26
pf_6040_c10neg,r,c2p2f6,0.05,38.78,79.3,55.71,39.11,82.26,52.76,41.57,81.93,56.25,112,47.245000000000005
pro_only,r,c4p4f2,0.125,37.9,78.43,56.59,39.52,71.37,54.86,34.34,72.89,49.49,99,47.245000000000005
pf_6040,q,c4p4f2,0.075,38.48,75.22,56.0,39.52,77.02,54.9,39.76,76.51,53.77,106,47.239999999999995
pf_4555_c10,q,fut_only,0.025,41.11,94.75,53.36,38.71,93.55,50.82,41.57,93.37,52.76,127,47.235
fii_only,r,fut_only,0.025,40.82,98.83,53.64,38.71,97.58,50.53,46.39,99.4,55.88,136,47.230000000000004
