TIMESTAMP,INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PRICE,OPTION_TYPE,MARKET_TYPE,OPENING_PRICE,TRADE_HIGH_PRICE,TRADE_LOW_PRICE,CLOSING_PRICE,LAST_TRADED_PRICE,PREV_CLS,SETTLE_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,OPEN_INT,CHANGE_IN_OI,MARKET_LOT,UNDERLYING_VALUE
18-Sep-2026,OPTIDX,NIFTY,29-Sep-2026,21800,CE,N,0.0,0.0,0.0,1700.0,1700.0,1700.0,1586.3,0,0.0,65,0,65,23346.4
18-Sep-2026,OPTIDX,NIFTY,29-Sep-2026,25550,CE,N,1.45,1.6,1.1,1.3,1.25,1.15,1.3,21125,5397.72,39520,-6240,65,23346.4
18-Sep-2026,OPTIDX,NIFTY,29-Sep-2026,21700,CE,N,0.0,0.0,0.0,1820.0,1820.0,1820.0,1685.69,0,0.0,0,0,65,23346.4
18-Sep-2026,OPTIDX,NIFTY,29-Sep-2026,26950,CE,N,0.8,0.8,0.75,0.8,0.8,1.2,0.8,390,105.11,2795,-260,65,23346.4
18-Sep-2026,OPTIDX,NIFTY,29-Sep-2026,24050,CE,N,11.7,11.9,6.9,7.45,7.3,10.6,7.45,1045915,251632.09,486655,40235,65,23346.4
18-Sep-2026,OPTIDX,NIFTY,29-Sep-2026,24100,CE,N,9.35,10.0,5.7,6.15,6.35,9.1,6.15,5415150,1305434.38,2026310,58955,65,23346.4
18-Sep-2026,OPTIDX,NIFTY,29-Sep-2026,21000,CE,N,2360.0,2410.95,2318.65,2378.9,2380.0,2333.85,2378.9,64090,14972.09,510055,-4095,65,23346.4
18-Sep-2026,OPTIDX,NIFTY,29-Sep-2026,26500,CE,N,0.75,0.75,0.6,0.65,0.65,0.75,0.65,275405,72984.13,843505,-14365,65,23346.4
18-Sep-2026,OPTIDX,NIFTY,29-Sep-2026,22600,CE,N,793.2,802.5,736.2,787.5,786.3,760.45,787.5,2275,531.87,3575,260,65,23346.4
18-Sep-2026,OPTIDX,NIFTY,29-Sep-2026,27000,CE,N,0.9,1.0,0.8,0.9,0.8,1.0,0.9,170625,46070.25,1688765,15015,65,23346.4
18-Sep-2026,OPTIDX,NIFTY,29-Sep-2026,27150,CE,N,0.8,1.95,0.55,1.2,1.2,0.8,1.2,1690,458.85,8385,0,65,23346.4
18-Sep-2026,OPTIDX,NIFTY,29-Sep-2026,26150,CE,N,1.2,1.2,0.8,1.0,1.0,1.2,0.0,2275,594.94,6175,-130,65,23346.4
18-Sep-2026,OPTIDX,NIFTY,29-Sep-2026,22700,CE,N,683.6,722.95,646.85,690.6,683.9,674.0,690.6,17225,4027.62,21710,-585,65,23346.4
18-Sep-2026,OPTIDX,NIFTY,29-Sep-2026,26750,CE,N,0.9,1.25,0.7,0.85,1.25,1.1,0.85,6370,1704.03,5655,-2275,65,23346.4
18-Sep-2026,OPTIDX,NIFTY,29-Sep-2026,23500,CE,N,112.8,124.8,90.35,101.8,101.0,109.5,101.8,10770045,2542237.19,5020145,409305,65,23346.4
