left_rule_id,left_feature,right_rule_id,right_feature,dev2023_24_n,dev2023_24_coverage_pct,dev2023_24_up_calls,dev2023_24_down_calls,dev2023_24_exact_pct,dev2023_24_sign_n,dev2023_24_sign_pct,val2025_n,val2025_coverage_pct,val2025_up_calls,val2025_down_calls,val2025_exact_pct,val2025_sign_n,val2025_sign_pct,confirm2026_n,confirm2026_coverage_pct,confirm2026_up_calls,confirm2026_down_calls,confirm2026_exact_pct,confirm2026_sign_n,confirm2026_sign_pct,min_holdout_exact_pct,min_holdout_sign_pct,mean_holdout_coverage_pct
FII_v3inst_lvl_sum21|-1|upper|0.800,FII_v3inst_lvl_sum21,smart_plus_contra_client_optheavy_lvl_mean21|-1|upper|0.750,smart_plus_contra_client_optheavy_lvl_mean21,10,13.7,10,0,80.0,8,100.0,10,19.23,10,0,30.0,7,42.86,23,65.71,23,0,30.43,16,43.75,30.0,42.86,42.47
pro_fii_agreement_v3inst_rflow_sum21|1|upper|0.800,pro_fii_agreement_v3inst_rflow_sum21,pro_fii_agreement_v3inst_qflow_sum21|1|upper|0.800,pro_fii_agreement_v3inst_qflow_sum21,13,17.81,13,0,84.62,12,91.67,15,28.85,15,0,40.0,13,46.15,10,28.57,10,0,30.0,8,37.5,30.0,37.5,28.71
pro_fii_agreement_v3inst_rflow_sum21|1|upper|0.800,pro_fii_agreement_v3inst_rflow_sum21,pro_fii_agreement_v3inst_qflow_sum21|1|upper|0.850,pro_fii_agreement_v3inst_qflow_sum21,13,17.81,13,0,84.62,12,91.67,15,28.85,15,0,40.0,13,46.15,10,28.57,10,0,30.0,8,37.5,30.0,37.5,28.71
pro_fii_agreement_v3inst_rflow_sum21|1|upper|0.850,pro_fii_agreement_v3inst_rflow_sum21,pro_fii_agreement_v3inst_qflow_sum21|1|upper|0.800,pro_fii_agreement_v3inst_qflow_sum21,13,17.81,13,0,84.62,12,91.67,15,28.85,15,0,40.0,13,46.15,10,28.57,10,0,30.0,8,37.5,30.0,37.5,28.71
pro_fii_agreement_v3inst_rflow_sum21|1|upper|0.850,pro_fii_agreement_v3inst_rflow_sum21,pro_fii_agreement_v3inst_qflow_sum21|1|upper|0.850,pro_fii_agreement_v3inst_qflow_sum21,13,17.81,13,0,84.62,12,91.67,15,28.85,15,0,40.0,13,46.15,10,28.57,10,0,30.0,8,37.5,30.0,37.5,28.71
pro_fii_agreement_v3inst_rflow_sum21|1|upper|0.800,pro_fii_agreement_v3inst_rflow_sum21,pro_fii_agreement_v3inst_rflow_sum21|1|upper|0.850,pro_fii_agreement_v3inst_rflow_sum21,15,20.55,15,0,86.67,14,92.86,20,38.46,20,0,40.0,17,47.06,14,40.0,14,0,28.57,11,36.36,28.57,36.36,39.230000000000004
smart_plus_contra_client_optheavy_lvl_sum21|-1|upper|0.750,smart_plus_contra_client_optheavy_lvl_sum21,smart_plus_contra_client_optheavy_lvl_mean21|-1|upper|0.750,smart_plus_contra_client_optheavy_lvl_mean21,18,24.66,18,0,83.33,15,100.0,11,21.15,11,0,27.27,8,37.5,23,65.71,23,0,30.43,16,43.75,27.27,37.5,43.42999999999999
pro_fii_agreement_v3inst_qflow_sum21|1|upper|0.800,pro_fii_agreement_v3inst_qflow_sum21,pro_fii_agreement_v3inst_qflow_sum21|1|upper|0.850,pro_fii_agreement_v3inst_qflow_sum21,17,23.29,17,0,82.35,15,93.33,20,38.46,20,0,50.0,18,55.56,11,31.43,11,0,27.27,8,37.5,27.27,37.5,34.945
v3_confidence_sum4|1|upper|0.850,v3_confidence_sum4,v3_confidence_mean4|1|upper|0.850,v3_confidence_mean4,11,15.07,11,0,81.82,10,90.0,10,19.23,10,0,30.0,6,50.0,15,42.86,15,0,26.67,13,30.77,26.67,30.77,31.045
v3_confidence_sum4|1|upper|0.850,v3_confidence_sum4,v3_setup_strength_sum4|1|upper|0.850,v3_setup_strength_sum4,11,15.07,11,0,81.82,10,90.0,10,19.23,10,0,30.0,6,50.0,15,42.86,15,0,26.67,13,30.77,26.67,30.77,31.045
v3_confidence_sum4|1|upper|0.850,v3_confidence_sum4,v3_setup_strength_mean4|1|upper|0.850,v3_setup_strength_mean4,11,15.07,11,0,81.82,10,90.0,10,19.23,10,0,30.0,6,50.0,15,42.86,15,0,26.67,13,30.77,26.67,30.77,31.045
v3_confidence_mean4|1|upper|0.850,v3_confidence_mean4,v3_setup_strength_sum4|1|upper|0.850,v3_setup_strength_sum4,11,15.07,11,0,81.82,10,90.0,10,19.23,10,0,30.0,6,50.0,15,42.86,15,0,26.67,13,30.77,26.67,30.77,31.045
v3_confidence_mean4|1|upper|0.850,v3_confidence_mean4,v3_setup_strength_mean4|1|upper|0.850,v3_setup_strength_mean4,11,15.07,11,0,81.82,10,90.0,10,19.23,10,0,30.0,6,50.0,15,42.86,15,0,26.67,13,30.77,26.67,30.77,31.045
v3_setup_strength_sum4|1|upper|0.850,v3_setup_strength_sum4,v3_setup_strength_mean4|1|upper|0.850,v3_setup_strength_mean4,11,15.07,11,0,81.82,10,90.0,10,19.23,10,0,30.0,6,50.0,15,42.86,15,0,26.67,13,30.77,26.67,30.77,31.045
