rule_id,feature,orientation,mode,quantile,threshold_hi,threshold_lo,rho_dev,dev2023_24_n,dev2023_24_coverage_pct,dev2023_24_up_calls,dev2023_24_down_calls,dev2023_24_exact_pct,dev2023_24_sign_n,dev2023_24_sign_pct,val2025_n,val2025_coverage_pct,val2025_up_calls,val2025_down_calls,val2025_exact_pct,val2025_sign_n,val2025_sign_pct,confirm2026_n,confirm2026_coverage_pct,confirm2026_up_calls,confirm2026_down_calls,confirm2026_exact_pct,confirm2026_sign_n,confirm2026_sign_pct,min_holdout_exact_pct,min_holdout_sign_pct,mean_holdout_coverage_pct
smart_futheavy_lvl_mean4|-1|both|0.800,smart_futheavy_lvl_mean4,-1,both,0.8,0.04653370980897319,-0.03097901926505546,-0.13785,30,41.1,15,15,56.67,27,62.96,45,86.54,45,0,46.67,37,56.76,35,100.0,35,0,31.43,25,44.0,31.43,44.0,93.27000000000001
smart_futheavy_lvl_mean4|-1|both|0.850,smart_futheavy_lvl_mean4,-1,both,0.85,0.05191108803046043,-0.038794608251538056,-0.13785,22,30.14,11,11,63.64,20,70.0,45,86.54,45,0,46.67,37,56.76,35,100.0,35,0,31.43,25,44.0,31.43,44.0,93.27000000000001
smart_futheavy_lvl_sum21|-1|upper|0.850,smart_futheavy_lvl_sum21,-1,upper,0.85,0.9840248998120702,,-0.233166,11,15.07,11,0,72.73,9,88.89,45,86.54,45,0,46.67,37,56.76,35,100.0,35,0,31.43,25,44.0,31.43,44.0,93.27000000000001
smart_futheavy_lvl_sum21|-1|both|0.850,smart_futheavy_lvl_sum21,-1,both,0.85,0.9840248998120702,-0.6775829940935415,-0.233166,22,30.14,11,11,45.45,16,62.5,45,86.54,45,0,46.67,37,56.76,35,100.0,35,0,31.43,25,44.0,31.43,44.0,93.27000000000001
smart_futheavy_lvl_mean21|-1|upper|0.850,smart_futheavy_lvl_mean21,-1,upper,0.85,0.04685832856247954,,-0.235983,11,15.07,11,0,72.73,9,88.89,45,86.54,45,0,46.67,37,56.76,35,100.0,35,0,31.43,25,44.0,31.43,44.0,93.27000000000001
smart_futheavy_lvl_mean21|-1|both|0.850,smart_futheavy_lvl_mean21,-1,both,0.85,0.04685832856247954,-0.03226585686159721,-0.235983,22,30.14,11,11,45.45,16,62.5,45,86.54,45,0,46.67,37,56.76,35,100.0,35,0,31.43,25,44.0,31.43,44.0,93.27000000000001
pro_fii_spread_futheavy_lvl_sum4|1|upper|0.700,pro_fii_spread_futheavy_lvl_sum4,1,upper,0.7,0.2790464593490863,,0.113106,22,30.14,22,0,59.09,17,76.47,45,86.54,45,0,46.67,38,55.26,35,100.0,35,0,31.43,25,44.0,31.43,44.0,93.27000000000001
pro_fii_spread_futheavy_lvl_sum4|1|upper|0.750,pro_fii_spread_futheavy_lvl_sum4,1,upper,0.75,0.32589805984964715,,0.113106,19,26.03,19,0,63.16,15,80.0,45,86.54,45,0,46.67,38,55.26,35,100.0,35,0,31.43,25,44.0,31.43,44.0,93.27000000000001
pro_fii_spread_futheavy_lvl_sum4|1|both|0.700,pro_fii_spread_futheavy_lvl_sum4,1,both,0.7,0.2790464593490863,-0.2039506558539544,0.113106,44,60.27,22,22,43.18,33,57.58,45,86.54,45,0,46.67,38,55.26,35,100.0,35,0,31.43,25,44.0,31.43,44.0,93.27000000000001
pro_fii_spread_futheavy_lvl_sum4|1|both|0.750,pro_fii_spread_futheavy_lvl_sum4,1,both,0.75,0.32589805984964715,-0.32980375053213884,0.113106,38,52.05,19,19,44.74,28,60.71,45,86.54,45,0,46.67,38,55.26,35,100.0,35,0,31.43,25,44.0,31.43,44.0,93.27000000000001
